source_system,source_id,master_id,tier,score,score_runner_up,score_margin,candidate_count,blocking_rule,evidence_json,veto_applied,veto_reason,needs_review,ruleset_version,decided_by,decided_at
crm_hubspot,HS-100001,b5e018ec0013,S,,,,1,none,"{""domain_label"":""gaitan115"",""name_norm"":""gaitan olmos y paredes""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100002,51b8827af99f,S,,,,1,none,"{""domain_label"":""guillen759"",""name_norm"":""guillen y saucedo""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100003,4241a3ce2f40,S,,,,1,none,"{""domain_label"":""granados239"",""name_norm"":""granados y solis""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100004,6d621ac6bce1,S,,,,1,none,"{""domain_label"":""club226"",""name_norm"":""club medrano y mercado""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100005,793be83a3632,S,,,,1,none,"{""domain_label"":""club433"",""name_norm"":""club jasso y puente""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100006,5df58f1cd011,S,,,,1,none,"{""domain_label"":""cuellarceja100"",""name_norm"":""cuellar ceja""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100007,d7e2debcb1e4,S,,,,1,none,"{""domain_label"":""cabrera128"",""name_norm"":""cabrera s c""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100008,bfcc93c1234c,S,,,,1,none,"{""domain_label"":""frias592"",""name_norm"":""frias briseno y molina""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100009,2cc32419a667,S,,,,1,none,"{""domain_label"":""gonzalezserr876"",""name_norm"":""gonzalez serrano a c""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100010,00fd17d94d91,S,,,,1,none,"{""domain_label"":""proyectos380"",""name_norm"":""proyectos zamora amaya y rosales""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100011,7673a68d1cc4,S,,,,1,none,"{""domain_label"":""aragon651"",""name_norm"":""aragon rodriguez y carmona""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100012,2abb19d06446,S,,,,1,none,"{""domain_label"":""zaragoza948"",""name_norm"":""zaragoza""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100013,e382b0077d44,S,,,,1,none,"{""domain_label"":""aguilartejed842"",""name_norm"":""aguilar tejeda""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100014,e5c032b1ac0b,S,,,,1,none,"{""domain_label"":""zayas323"",""name_norm"":""zayas limon y tejada""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100015,f268910f164f,S,,,,1,none,"{""domain_label"":""perea272"",""name_norm"":""perea vanegas y mayorga""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100016,4b51faa01f35,S,,,,1,none,"{""domain_label"":""cabrera920"",""name_norm"":""cabrera y galvan s r l de c v""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100017,0044b4ee820c,S,,,,1,none,"{""domain_label"":""club774"",""name_norm"":""club badillo ruelas y almonte""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100018,5284a262a4a1,S,,,,1,none,"{""domain_label"":""mateorolon66"",""name_norm"":""mateo rolon s r l de c v""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100019,82b3be1a7259,S,,,,1,none,"{""domain_label"":""laboratorios882"",""name_norm"":""laboratorios ulibarri duarte""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100020,7ed9ffed0ce9,S,,,,1,none,"{""domain_label"":""espinosa349"",""name_norm"":""espinosa valdez y tamez""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100021,7c49bd17517b,S,,,,1,none,"{""domain_label"":""rivera781"",""name_norm"":""rivera y frias""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100022,dc7546038f51,S,,,,1,none,"{""domain_label"":""castro520"",""name_norm"":""castro y saldana""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100023,f7b188c45db9,S,,,,1,none,"{""domain_label"":""proyectos941"",""name_norm"":""proyectos pina patino""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100024,6d7170e9789b,S,,,,1,none,"{""domain_label"":""narvaez60"",""name_norm"":""narvaez madera y roldan""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100025,fb754cb6ae6b,S,,,,1,none,"{""domain_label"":""marreropriet785"",""name_norm"":""marrero prieto""}",False,,False,1.0.0,worky_engine,2024-08-31
crm_hubspot,HS-100026,ca4b97d0cb79,S,,,,1,none,"{""domain_label"":""corporacin541"",""name_norm"":""corporacin sosa mora y villareal""}",False,,False,1.0.0,worky_engine,2024-08-31
